year,month,latitude,upwelling_index,model
1980.0,8.0,37.0,0.979,gfdl
1980.0,8.0,38.0,1.344,gfdl
1980.0,8.0,39.0,1.967,gfdl
1980.0,8.0,40.0,1.284,gfdl
1980.0,8.0,41.0,0.752,gfdl
1980.0,8.0,42.0,0.609,gfdl
1980.0,8.0,43.0,0.352,gfdl
1980.0,8.0,44.0,0.19,gfdl
1980.0,8.0,45.0,0.285,gfdl
1980.0,8.0,46.0,0.213,gfdl
1980.0,8.0,47.0,0.274,gfdl
1980.0,9.0,31.0,0.249,gfdl
1980.0,9.0,32.0,0.302,gfdl
1980.0,9.0,33.0,0.28,gfdl
1980.0,9.0,34.0,0.293,gfdl
1980.0,9.0,35.0,0.553,gfdl
1980.0,9.0,36.0,0.267,gfdl
1980.0,9.0,37.0,0.184,gfdl
1980.0,9.0,38.0,0.333,gfdl
1980.0,9.0,39.0,0.998,gfdl
1980.0,9.0,40.0,0.825,gfdl
1980.0,9.0,41.0,0.64,gfdl
1980.0,9.0,42.0,0.648,gfdl
1980.0,9.0,43.0,0.509,gfdl
1980.0,9.0,44.0,0.34,gfdl
1980.0,9.0,45.0,0.298,gfdl
1980.0,9.0,46.0,0.293,gfdl
1980.0,9.0,47.0,0.266,gfdl
1980.0,10.0,31.0,0.152,gfdl
1980.0,10.0,32.0,0.178,gfdl
1980.0,10.0,33.0,0.189,gfdl
1980.0,10.0,34.0,0.126,gfdl
1980.0,10.0,35.0,0.308,gfdl
1980.0,10.0,36.0,0.122,gfdl
1980.0,10.0,37.0,0.201,gfdl
1980.0,10.0,38.0,0.285,gfdl
1980.0,10.0,39.0,0.71,gfdl
1980.0,10.0,40.0,0.749,gfdl
1980.0,10.0,41.0,0.599,gfdl
1980.0,10.0,42.0,0.576,gfdl
1980.0,10.0,43.0,0.488,gfdl
1980.0,10.0,44.0,0.324,gfdl
1980.0,10.0,45.0,0.262,gfdl
1980.0,10.0,46.0,0.289,gfdl
1980.0,10.0,47.0,0.192,gfdl
1980.0,11.0,31.0,0.139,gfdl
1980.0,11.0,32.0,0.129,gfdl
1980.0,11.0,33.0,0.183,gfdl
1980.0,11.0,34.0,0.19,gfdl
1980.0,11.0,35.0,0.505,gfdl
1980.0,11.0,36.0,0.334,gfdl
1980.0,11.0,37.0,0.304,gfdl
1980.0,11.0,38.0,0.405,gfdl
1980.0,11.0,39.0,0.601,gfdl
1980.0,11.0,40.0,0.462,gfdl
1980.0,11.0,41.0,0.303,gfdl
1980.0,11.0,42.0,0.022,gfdl
1980.0,11.0,43.0,-0.387,gfdl
1980.0,11.0,44.0,-0.469,gfdl
1980.0,11.0,45.0,-0.551,gfdl
1980.0,11.0,46.0,-0.353,gfdl
1980.0,11.0,47.0,-0.052,gfdl
1980.0,12.0,31.0,-0.038,gfdl
1980.0,12.0,32.0,0.003,gfdl
1980.0,12.0,33.0,0.046,gfdl
1980.0,12.0,34.0,0.032,gfdl
1980.0,12.0,35.0,0.35,gfdl
1980.0,12.0,36.0,-0.041,gfdl
1980.0,12.0,37.0,-0.316,gfdl
1980.0,12.0,38.0,-0.204,gfdl
1980.0,12.0,39.0,0.031,gfdl
1980.0,12.0,40.0,-0.214,gfdl
1980.0,12.0,41.0,-0.342,gfdl
1980.0,12.0,42.0,-0.291,gfdl
1980.0,12.0,43.0,-0.333,gfdl
1980.0,12.0,44.0,-0.4,gfdl
1980.0,12.0,45.0,-0.282,gfdl
1980.0,12.0,46.0,-0.229,gfdl
1980.0,12.0,47.0,-0.185,gfdl
1981.0,1.0,31.0,0.326,gfdl
1981.0,1.0,32.0,0.303,gfdl
1981.0,1.0,33.0,0.567,gfdl
1981.0,1.0,34.0,0.341,gfdl
1981.0,1.0,35.0,0.444,gfdl
1981.0,1.0,36.0,0.344,gfdl
1981.0,1.0,37.0,0.313,gfdl
1981.0,1.0,38.0,0.522,gfdl
1981.0,1.0,39.0,0.441,gfdl
1981.0,1.0,40.0,-0.019,gfdl
1981.0,1.0,41.0,-0.283,gfdl
1981.0,1.0,42.0,-0.305,gfdl
1981.0,1.0,43.0,-0.033,gfdl
1981.0,1.0,44.0,-0.424,gfdl
1981.0,1.0,45.0,-0.201,gfdl
1981.0,1.0,46.0,-0.207,gfdl
1981.0,1.0,47.0,-0.155,gfdl
1981.0,2.0,31.0,0.271,gfdl
1981.0,2.0,32.0,0.21,gfdl
1981.0,2.0,33.0,0.412,gfdl
1981.0,2.0,34.0,0.265,gfdl
1981.0,2.0,35.0,0.705,gfdl
1981.0,2.0,36.0,0.432,gfdl
1981.0,2.0,37.0,0.59,gfdl
1981.0,2.0,38.0,0.483,gfdl
1981.0,2.0,39.0,0.375,gfdl
1981.0,2.0,40.0,0.517,gfdl
1981.0,2.0,41.0,0.06,gfdl
1981.0,2.0,42.0,0.074,gfdl
1981.0,2.0,43.0,-0.157,gfdl
1981.0,2.0,44.0,-0.616,gfdl
1981.0,2.0,45.0,-0.448,gfdl
1981.0,2.0,46.0,-0.224,gfdl
1981.0,2.0,47.0,-0.251,gfdl
1981.0,3.0,31.0,0.444,gfdl
1981.0,3.0,32.0,0.452,gfdl
1981.0,3.0,33.0,0.747,gfdl
1981.0,3.0,34.0,0.764,gfdl
1981.0,3.0,35.0,1.44,gfdl
1981.0,3.0,36.0,1.038,gfdl
1981.0,3.0,37.0,1.414,gfdl
1981.0,3.0,38.0,1.414,gfdl
1981.0,3.0,39.0,1.703,gfdl
1981.0,3.0,40.0,1.438,gfdl
1981.0,3.0,41.0,1.205,gfdl
1981.0,3.0,42.0,0.878,gfdl
1981.0,3.0,43.0,0.812,gfdl
1981.0,3.0,44.0,-0.165,gfdl
1981.0,3.0,45.0,0.272,gfdl
1981.0,3.0,46.0,0.159,gfdl
1981.0,3.0,47.0,0.23,gfdl
1981.0,4.0,31.0,0.25,gfdl
1981.0,4.0,32.0,0.201,gfdl
1981.0,4.0,33.0,0.318,gfdl
1981.0,4.0,34.0,0.422,gfdl
1981.0,4.0,35.0,0.937,gfdl
1981.0,4.0,36.0,0.57,gfdl
1981.0,4.0,37.0,0.896,gfdl
1981.0,4.0,38.0,1.122,gfdl
1981.0,4.0,39.0,1.224,gfdl
1981.0,4.0,40.0,1.037,gfdl
1981.0,4.0,41.0,0.852,gfdl
1981.0,4.0,42.0,0.805,gfdl
1981.0,4.0,43.0,0.719,gfdl
1981.0,4.0,44.0,-0.013,gfdl
1981.0,4.0,45.0,0.213,gfdl
1981.0,4.0,46.0,0.105,gfdl
1981.0,4.0,47.0,0.117,gfdl
1981.0,5.0,31.0,0.42,gfdl
1981.0,5.0,32.0,0.409,gfdl
1981.0,5.0,33.0,0.559,gfdl
1981.0,5.0,34.0,0.779,gfdl
1981.0,5.0,35.0,1.375,gfdl
1981.0,5.0,36.0,0.935,gfdl
1981.0,5.0,37.0,0.838,gfdl
1981.0,5.0,38.0,1.083,gfdl
1981.0,5.0,39.0,1.223,gfdl
1981.0,5.0,40.0,1.023,gfdl
1981.0,5.0,41.0,0.689,gfdl
1981.0,5.0,42.0,0.729,gfdl
1981.0,5.0,43.0,0.56,gfdl
1981.0,5.0,44.0,0.14,gfdl
1981.0,5.0,45.0,0.278,gfdl
1981.0,5.0,46.0,0.118,gfdl
1981.0,5.0,47.0,0.11,gfdl
1981.0,6.0,31.0,0.467,gfdl
1981.0,6.0,32.0,0.396,gfdl
1981.0,6.0,33.0,0.444,gfdl
1981.0,6.0,34.0,0.843,gfdl
1981.0,6.0,35.0,1.707,gfdl
1981.0,6.0,36.0,1.256,gfdl
1981.0,6.0,37.0,1.483,gfdl
1981.0,6.0,38.0,1.79,gfdl
1981.0,6.0,39.0,2.303,gfdl
1981.0,6.0,40.0,1.856,gfdl
1981.0,6.0,41.0,1.437,gfdl
1981.0,6.0,42.0,1.286,gfdl
1981.0,6.0,43.0,0.853,gfdl
1981.0,6.0,44.0,0.302,gfdl
1981.0,6.0,45.0,0.387,gfdl
