Year,Month,UpwellWind_avg,UpwellWind_sd
1995,January,-3.4409622644756737,1.547134368456566
1995,February,1.0455402992074272,0.6237931841724756
1995,March,0.7032573350662669,1.341589148667547
1995,April,3.152246555649451,1.9369569446485346
1995,May,4.029651897546212,2.0882245657871272
1995,June,4.013813971650106,2.1595909232752795
1995,July,3.96107767919208,2.050334759297516
1995,August,4.69769412715186,2.4997617321191026
1995,September,4.019297956788509,2.134176157863283
1995,October,3.3584550816990415,1.5809503231845217
1995,November,2.5764309871960833,1.760690952933547
1995,December,0.346812940348874,1.6619952672427996
1996,January,1.4048150343090733,1.4124712953916012
1996,February,-0.7197883825220825,0.9509676326243347
1996,March,2.3729603270015245,1.384937060710608
1996,April,3.116472123547854,2.1356693596377214
1996,May,4.532670948874358,2.367865918496654
1996,June,5.860893665785104,3.0193207333451824
1996,July,3.8586441047530546,2.144766035882329
1996,August,4.644431460075666,2.389153972600076
1996,September,3.701843394765181,1.9175217736127788
1996,October,3.7617303628038288,1.8287243352908964
1996,November,2.423144006006124,1.5108576910548206
1996,December,-0.7905176744464514,1.0575531890715506
1997,January,0.11245374920211619,0.6820054142921911
1997,February,3.898711449429446,1.9585162964420164
1997,March,3.9912528721603824,1.9446470598554184
1997,April,4.83555863962854,2.5178320111213384
1997,May,3.772098857213995,2.2694502804688095
1997,June,5.637711071481173,2.8463872243327737
1997,July,4.421913848821189,2.5399297847351745
1997,August,2.9895096347650187,1.7658898945485602
1997,September,3.5135504931922514,1.8297527029164904
1997,October,3.620387937639935,1.7330821327607773
1997,November,0.16887585963194537,1.2658566556222548
1997,December,1.0308227699799497,0.7838107832322828
1998,January,-1.2427702066974269,2.264895021680712
1998,February,-0.6794054422902848,1.7513573314451498
1998,March,2.607308883506954,1.5456614748222217
1998,April,2.222123105720523,1.4667673560674919
1998,May,2.876621008337763,1.7382387910543666
1998,June,4.604588271187701,2.4373814622110666
1998,July,4.552105988195353,2.3432172905775976
1998,August,5.0038420679700355,2.5798885373465
1998,September,3.298066255335642,1.7335140134184486
1998,October,3.4917953199005263,1.7929434897863705
1998,November,0.9093878435917471,2.2016595044437572
1998,December,2.987634308058072,1.6937120968544708
1999,January,1.4085228600136934,1.253274308065252
1999,February,1.0929610113800123,2.2900500157484824
1999,March,1.9123059008159757,1.6301478396427176
1999,April,4.7474130327294715,2.2327363209433013
1999,May,5.310922674675156,2.6083468862448815
1999,June,5.593070850647292,2.8893691562556074
1999,July,4.480106492042764,2.303068731280085
1999,August,4.494597574725839,2.3523983920477667
1999,September,2.717991029726864,1.7058070216106571
1999,October,2.413510786217788,1.268373739429864
1999,November,-0.2913867883649408,1.6971967451871794
1999,December,2.8502818878149156,1.377231800021941
2000,January,0.1432708855808961,1.4879798484587996
2000,February,-1.7793890137936048,1.1797637106615433
2000,March,4.192685993115635,1.9033122895282353
2000,April,2.582044254756628,1.8802006312835735
2000,May,4.2743654552395505,2.2789905414880813
