Year,obs,stderr
2001,0.187149,0.407576
2002,0.107881,0.445727
2003,0.176346,0.327208
2004,0.0122219,1.00399
2005,0.00952755,1.01004
2006,0.00394624,2.00036
2007,0.0197735,0.818178
2008,0.00516356,1.95663
2009,0.0329624,0.624393
2010,0.0784088,0.477357
2011,0.0528886,0.521996
2012,0.0185759,0.990192
2013,0.0141595,1.01657
2014,0.256989,0.370267
2015,0.31399,0.33057
2016,0.118629,0.465254
2017,0.208798,0.392986
2018,0.0300867,0.662229
