Year,Month,Vwind_avg,Vwind_sd
1995,January,3.899766938679803,1.2237164977727168
1995,February,-1.122106892190689,0.40994408972039775
1995,March,-0.1768597230254836,0.9550278305656357
1995,April,-2.8201692336846973,0.9650370228219092
1995,May,-3.597538129751347,1.2989065419248143
1995,June,-3.641556742434331,1.0207482246953477
1995,July,-3.6068149437260693,1.178436346727366
1995,August,-4.3594491862725295,1.8380273774007523
1995,September,-3.7369354957391407,1.1011056313793839
1995,October,-3.4085099720101053,1.1156254134623602
1995,November,-2.7026545815275003,1.3812363761771635
1995,December,-0.34516687503510435,1.7561118186260003
1996,January,-1.3074951376601767,1.1508619217797202
1996,February,1.0582542955157022,0.9004184692752428
1996,March,-2.1509155200532644,0.738654473242612
1996,April,-2.9486864617888457,1.3824303842526964
1996,May,-4.165968264430022,1.2973236323021704
1996,June,-5.491733007063222,2.0461334404395983
1996,July,-3.4486367121544093,1.6622010573965373
1996,August,-4.283618538504461,1.6445990350952167
1996,September,-3.415188832026868,1.2249073947295548
1996,October,-3.7506534200726134,0.8873868573554407
1996,November,-2.4967963859233646,1.0516855341199467
1996,December,1.0445849107253844,1.1628082988134802
1997,January,-0.06290308186059917,0.5878352198356597
1997,February,-4.032210986706179,1.1253547274233429
1997,March,-4.04558347775588,1.0107840436276454
1997,April,-4.666925353846274,1.1268177324127622
1997,May,-3.5361150472945746,1.2581211044792158
1997,June,-5.223686011632283,1.640160856612921
1997,July,-3.9840380492946004,2.0842411839894806
1997,August,-2.611627168300723,0.8510176583344339
1997,September,-3.3415369992085395,0.9137223879545251
1997,October,-3.6805201542278954,0.9187838172731015
1997,November,-0.03398454855600264,1.1931903476193253
1997,December,-1.7536951805606034,0.6301205279874367
1998,January,1.7850125378158608,2.274664226348336
1998,February,1.473155995383805,1.4457772105797813
1998,March,-2.4214144058463987,0.7464855450794858
1998,April,-1.8316640163256117,0.7068720262339644
1998,May,-2.4361540204237317,0.8179653113788888
1998,June,-4.105479782639128,1.776085135164948
1998,July,-4.118631871081581,1.488793921596168
1998,August,-4.687338306884135,1.8715293353328712
1998,September,-2.982585941858528,1.2065848552452796
1998,October,-3.4988889641669827,0.925209114795446
1998,November,-0.7184577965055728,2.192136435047066
1998,December,-3.386696371493589,1.3718940763233614
1999,January,-1.4411899760652997,1.0299543888110851
1999,February,-0.8427283261973506,2.2098817537950772
1999,March,-1.6019367306974277,1.0033739713858294
1999,April,-4.500823740394319,1.1652493480513966
1999,May,-4.941977216520914,1.343935104517998
1999,June,-5.161319067655516,1.8415343739672594
1999,July,-4.016019893152326,1.3431123486240757
1999,August,-4.071255664654672,1.3133216704151676
1999,September,-2.4485594945095133,1.6437346392563528
1999,October,-2.42810840054977,0.7704233058035033
1999,November,0.351464065961051,1.7469390351388552
1999,December,-3.393286544363689,1.052644323817251
2000,January,-0.07396920256000128,1.560932462653819
2000,February,2.2115412093719504,0.9392930665423139
2000,March,-4.1505848753222425,1.0507454158335925
2000,April,-2.2579434115039416,1.0907398134668784
2000,May,-3.9952566368849154,1.0520700902872273
2000,June,-2.992777782530824,1.4243509321850554
2000,July,-4.642504205454151,1.6495534135914722
2000,August,-3.7684151182489947,1.5627798961335426
2000,September,-2.7187987103935116,1.2566453898100094
2000,October,-2.3171385337498562,0.7890012241803979
2000,November,-2.876758395673158,1.356432302304936
2000,December,-1.7737366795148277,1.2227099154458752
2001,January,-0.835233747738429,0.756456806919818
2001,February,0.25483239557263015,0.5607978650760295
2001,March,-3.325832070792017,1.007985100545264
2001,April,-4.2072134510544705,0.9566022226746378
2001,May,-3.4979882072482886,1.6357133183321184
2001,June,-5.01919843894391,1.5972026093870184
2001,July,-3.7823675044968765,2.1064421849796715
2001,August,-4.149100414517825,1.3301645081439024
2001,September,-2.9965212232153604,1.1988123148000422
2001,October,-2.4535290639590954,1.0841152285615985
2001,November,-0.3461371087583331,1.3867209406786598
2001,December,-0.3544413274667674,1.3771200367699115
2002,January,-2.533597257544515,1.273878840209091
2002,February,-1.5086414253642757,1.2840856560552023
2002,March,-2.2706074774429488,0.7678188681628227
2002,April,-3.0670514154696926,0.7619235277772932
2002,May,-4.108821840522703,1.2456777226033018
2002,June,-5.218090422160041,1.6778649399322882
2002,July,-3.120659703853702,1.5493841399542254
2002,August,-3.503773504774761,1.738864541622205
2002,September,-3.0522530551127494,1.1093978875521266
2002,October,-3.0658955054506456,1.2622556963520497
2002,November,-1.2259387046829913,1.0405650412377048
2002,December,1.931717740978979,1.6558801874445457
2003,January,-0.24938255330321915,2.03526192636323
2003,February,-2.7791581563056336,0.6116581490373583
2003,March,-2.571718931316652,1.5967613424987535
2003,April,-0.588359833797876,1.3765900842504772
2003,May,-4.943665027749768,1.4515586682552106
2003,June,-3.68129178610715,1.2702271708483026
2003,July,-3.937678537060078,1.6996233212328091
2003,August,-3.434820918734737,1.0920962396447562
2003,September,-2.99384459483722,0.8678315510424268
2003,October,-3.838065384701921,0.9002338253928764
2003,November,-0.8464187422172056,1.0247083980531049
2003,December,0.8620615410851956,1.3258151847278006
2004,January,-1.3695851892345783,1.5605664776374795
2004,February,0.003737317560145698,1.044317778981608
2004,March,-4.11459401763832,0.9619394589860386
2004,April,-2.997029961436248,0.9544149092277582
2004,May,-4.660667299830224,1.2185543455522252
2004,June,-4.782586455213794,1.5812723215015594
2004,July,-3.3544491295315346,1.7604666394065043
2004,August,-2.9092196866172078,1.1064566821980446
2004,September,-4.3512064349224415,1.5470595391232054
2004,October,-1.9203651624934404,0.6414762916755046
2004,November,-2.813504332550301,0.6968814041365262
